RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
102001,United States,0,106417,106445,106534,106663,106878,107139,107447,107753,108073,108393,108676,108906,109072,109278,109508,109816,110122,110481,110807,111221,111654,112340,112909,113395,113592,113834,114137,114533,115013,115584,116186,116738,117213,117677,118182,118679,119164,119617,120209,120889,121544,122165,122771,123521,124267,125052,125756,126420,127027,127628,128265,128982,129796,130668,131538,132452,133363,134235,134965,135647,136298,136964,137653,138419,139270,140157,141043,141887,142671,143403,144086,144752,145382,146061,146828,147750,148777,149834,150886,151899,152876,153768,154594,155384,156171,157026,157925,158963,160135,161420,162691,163850,164918,165975,167104,168316,169574,170993,172564,174346,176168,177989,179701,181291,182855,184375,185889,187409,189108,190910,192866,194924,197068,199180,201095,202777,204210,205381,206430,207497,208635,209752,210742,211570,212284,212763,213095,213196,213182,213049,212905,212745,212610,212337,211944,211404,210910,210283,209568,208576,207508,206176,204692,203044,201353,199694,198014,196319,194476,192692,190932,189109,187233,185339,183801,182339,180989,179636,178457,177494,176651,175894,175315,175069,174965,174859,174680,174605,174705,174714,174469,173767,172895,171851,170824,169728,168718,167718,166807,165952,165097,164217,163402,162793,162313,161892,161417,160990,160588,160330,160192,160360,160722,161233,161718,162221,162726,163251,163840,164529,165292,166204,167228,168450,169729,171077,172437,173788,175057,176231,177336,178347,179305,180242,181222,182069,182796,183450,184106,184663,185045,185377,185837,186472,187216,187972,188838,189831,190872,191872,192703,193397,194045,194709,195423,196142,197034,198039,199157,200174,201271,202294,203284,204113,204868,205634,206497,207534,208652,209800,211014,212314,213715,215003,216163,217075,217919,218821,219876,221069,222358,223676,225133,226618,228130,229467,230577,231447,232168,232847,233557,234344,235237,236230,237250,238216,239118,239921,240592,241097,241517,241985,242567,243231,244054
394913,"New York, NY",1,186819,186359,185830,185414,185183,185199,185391,185774,186272,186940,187564,188169,188578,188906,189324,189796,190332,190854,191423,192384,193506,194668,195282,195630,195840,196170,196574,197077,197843,198881,200157,201474,202871,203966,205147,206258,207694,209198,210881,212962,214818,216716,218398,220472,222579,224639,226823,229026,231257,233262,235410,237798,240295,242880,245435,248108,250650,252996,255404,257624,259926,262007,264318,266686,269324,272091,275179,278217,281155,283988,286563,288908,291124,293398,296113,299216,303233,307537,311858,315831,319830,323687,327428,331270,334724,338151,341493,345264,349081,352663,356037,359326,362534,365980,369188,372479,375516,379169,383204,387980,392932,398162,403334,408304,412803,416890,420664,424404,428848,433594,438447,443197,448195,453391,458684,463377,467886,471450,474932,477316,479457,481171,483102,484528,485163,484917,483809,482273,480478,478625,477246,476975,476432,475844,474017,472298,470759,469100,468129,466794,465371,463802,462019,459608,456957,453119,449801,446390,443743,440869,437685,434144,430771,426941,423284,419695,416153,413231,410283,407850,405397,403736,402645,402024,401648,401545,401781,401406,401080,400485,400947,401430,401747,401207,399876,397991,395787,394303,393149,392552,391167,389706,387758,386189,384696,383244,381709,379838,378197,376673,375389,374342,373609,373346,373421,373443,373399,373242,373110,373234,373592,374139,375047,376163,377910,379893,381858,383665,385249,386843,388567,390208,391631,393379,395118,397162,398904,400595,402040,402927,403557,403985,404359,404553,405039,405732,406974,408013,409540,410888,412410,413281,413763,414185,414663,415794,416593,417301,418053,419320,421245,422975,424434,425455,426270,427077,428014,429092,430324,432206,434033,436443,438493,441511,444114,446643,448432,450034,451434,452762,454118,456208,459019,462339,465762,468509,470417,471024,471333,471977,473086,474336,475293,476057,477001,478348,479906,481170,481660,481522,480845,479932,478992,478365,478643
753899,"Los Angeles-Long Beach-Anaheim, CA",2,184550,183952,183553,183433,183506,183580,183503,183427,183418,183771,183610,183584,183259,183319,183545,184076,185111,186245,187187,188072,188909,191038,193334,195493,196535,197519,198720,199784,201320,203085,204881,206692,207887,209824,211397,213184,214369,215564,217668,220050,221801,223002,224208,226165,227859,229430,230844,232732,234830,236991,239349,241941,244759,247303,249430,251535,253505,255145,256783,258615,261082,263375,265806,268506,271456,274343,276956,279312,281533,283421,285566,288292,291765,295634,299937,305661,311731,317675,322597,327523,332036,335728,338939,342762,347149,352720,357348,363994,371114,379270,385428,391429,396987,403622,410725,419144,428976,441142,453325,464744,474475,484132,492713,498005,502970,507323,513785,521127,528943,536662,544162,553817,564236,574729,584177,589743,594854,598833,602837,607070,610866,616177,620327,622618,625384,624543,624621,622295,620715,619133,617288,615605,613592,610554,607934,603260,598235,591099,583453,576814,568328,560409,549411,538467,524408,510576,497958,487269,478393,472342,465370,456776,444953,436370,431634,428724,425889,423381,420080,418567,418337,419878,421159,423734,427589,428398,426861,426859,429817,433973,432973,430741,426727,423568,419672,415374,413239,411672,411383,409486,407869,403323,402084,401241,399783,396004,391973,391139,390874,389763,388784,388303,389307,390861,392760,395772,398235,400947,404616,408550,414649,420402,429501,438692,449020,457283,465672,473220,481219,487683,492442,497641,502322,507448,509582,510459,509998,510016,509985,510851,509350,508681,508777,512180,516441,521478,526948,531293,533188,535080,536854,538069,539171,540944,544779,548495,555105,559543,564510,566626,570289,573263,575670,576121,577130,579132,583427,587637,591619,596939,601192,605178,607581,610934,614223,614909,615115,615981,619977,626381,633201,638849,644670,649530,654319,656324,658297,656971,655372,653372,655461,657574,658652,658792,658234,657371,657556,658248,659531,657732,657063,658171,662373,665415,669028
394463,"Chicago, IL",3,158838,158649,158968,159046,159379,159962,160704,161421,161978,162441,162816,163011,162952,163281,163423,163593,161153,158199,153409,149876,147294,146566,146688,146592,146484,146368,146455,147133,148585,150699,153076,155265,156887,157780,158337,158683,159050,159259,160074,161270,162460,163416,164316,165491,166532,167739,168785,169674,170271,170824,171611,172696,174166,175852,177598,179383,180968,182267,183093,183805,184424,185233,186181,187345,188795,190452,192306,194055,195488,196516,197353,198174,198685,199275,200012,201394,203095,204946,206776,208316,209864,211088,212217,212940,213740,214268,214949,215845,217384,219320,221267,223119,224623,226086,227123,227905,228755,229680,231145,232712,234693,236628,238741,240916,243084,244803,246228,247314,248509,249714,251273,253041,255120,257565,260068,262363,264354,265931,267035,267859,268355,268958,269284,269928,270801,271804,272677,273434,274093,274699,274857,274513,273584,272377,271340,270564,270197,269606,269139,268716,267882,266780,263491,262577,259311,258694,255011,253965,250833,249285,246142,243658,239955,235595,232290,228804,227090,224445,222679,221071,219859,217833,216140,214423,214086,212983,212580,210809,211179,210049,210555,207891,206688,204197,202783,200016,197676,195363,193546,192275,190636,189799,188249,187791,186613,185679,183388,182082,179852,178728,176457,176319,176048,176562,176439,175617,174927,174070,174553,175032,175325,176011,176943,177982,179386,180737,182879,184509,186664,188250,190489,191351,192497,193014,194299,195077,195600,196390,197592,198417,198685,198941,199252,199582,199937,200240,200767,201833,203377,204604,204825,204741,204580,204457,204446,204487,205151,206040,207847,209478,210862,211700,212281,212837,213212,213416,213808,214540,215810,217475,219257,221298,223026,224239,224613,224488,224558,224851,225640,226475,227791,229347,230891,232043,233029,233818,234464,234535,234578,234738,234998,235355,235692,236171,237084,238060,238996,239479,239495,239238,238849,238454,238165,237971,238050
394514,"Dallas-Fort Worth, TX",4,111468,111609,111718,111838,112117,112484,112933,113220,113569,113810,114084,114086,113994,113873,113933,114140,114460,114878,115312,115583,115964,116579,117172,117511,117356,117350,117461,117852,118286,118758,118783,118811,118777,119509,120373,121321,121989,122557,123247,124024,124659,125113,125903,126795,127663,128100,128415,128571,128527,128503,128540,128744,129207,129789,130438,130955,131492,131789,131504,131139,130751,130737,130643,130713,131139,131524,131878,131975,132204,132461,132818,133127,133431,133712,134263,134879,135660,136254,136795,137194,137598,137934,138081,138160,138084,138029,138087,138153,138487,138822,139256,139501,139559,140427,141983,144378,146026,146812,146969,147044,147562,148033,148536,148753,148920,149748,150143,150531,150440,150661,150972,151189,151667,152137,152247,152316,152116,152265,152585,152968,153398,153863,154365,154627,154887,155241,156119,156544,156948,156620,156163,155723,155825,156190,156552,156872,157452,158186,158707,158884,158963,157912,156488,154795,154030,153496,153159,153000,152669,151996,151080,150229,149670,149278,149304,149439,149686,149835,149759,149792,149727,149843,149859,150340,150653,150565,150253,150001,150345,150437,150474,149839,149097,148103,147255,146264,145680,145219,144660,144168,143502,143148,142593,142504,142462,142629,142557,142334,141853,141529,141934,142598,143387,143925,144530,145246,145726,146129,146429,146988,147524,148188,148772,149701,150764,151979,153197,154449,155437,156523,157652,158963,160070,160808,161724,162624,163695,164718,165921,166736,167479,167999,168993,170242,171649,173045,174451,176102,177957,179904,181827,183660,184755,185691,186717,188324,190192,191677,193302,194825,196831,198931,200909,202891,204031,205217,206476,208400,210490,212160,214053,215594,217569,219325,221083,222436,223400,224683,226214,228034,229645,231235,233165,235144,236972,238355,239650,240632,241437,242001,242744,243753,245087,246709,247918,248681,248994,249360,249555,249746,250151,251017,251296,251576,251455
394974,"Philadelphia, PA",5,119027,118657,118439,118341,118296,118406,118665,119012,119351,119702,119903,119978,119921,119941,120020,120138,120259,120434,120663,120991,121385,121793,122073,122153,122051,121873,121745,121715,121910,122252,122713,123100,123502,123878,124249,124481,124646,124772,124977,125311,125632,126061,126495,127233,128079,129016,129870,130407,130830,131093,131486,131887,132382,133060,133835,134621,135355,136111,136894,137581,138154,138615,139178,139928,140837,141938,142997,144191,145133,146146,147020,147940,148839,149699,150785,152016,153726,155671,157648,159360,161060,162647,164141,165324,166589,167976,169632,171538,173667,175978,178097,180103,181743,183358,184802,186260,187814,189757,192184,195074,198330,201375,203916,206040,208324,210812,212786,214388,215961,218257,221117,224325,227577,230681,233658,236175,238443,240053,241452,242530,243834,245200,246722,248156,249332,250181,250687,250788,250605,250228,249992,250092,250228,250763,251076,251475,251288,251028,250840,250553,250004,248877,248273,247749,247522,246520,245248,243662,242166,240592,239006,237451,235880,234305,233147,232491,232092,231449,230657,229701,228970,228284,228128,228171,228168,228120,227880,227784,227826,228093,228318,228006,227053,225503,223705,221750,220117,218768,217888,217079,216043,214687,213205,211948,210988,209943,208925,207870,207027,206069,205219,204884,204935,205008,204681,204158,203643,203280,202955,202764,202577,202700,202924,203505,204264,205359,206447,207435,208007,208537,208889,209312,209474,209829,210322,210802,210859,211091,211398,211737,211510,211166,210955,211020,211232,211434,211754,212402,213274,213874,214145,214247,214405,214407,214247,214081,213960,214107,214563,215147,215958,216685,217615,218115,218510,218678,219140,219675,220555,221600,222624,223612,224577,225558,226238,226554,226866,227218,227996,228823,229832,230708,232019,233790,235643,236909,237510,237856,238081,238458,238812,239580,240422,241422,242321,243584,244669,245629,245930,246278,246504,246683,246836,247185,248010
394692,"Houston, TX",6,108946,108925,108872,108730,108760,108952,109327,109632,109917,110064,110060,110019,109893,109795,109840,109933,110193,110403,110725,111006,111244,112053,112791,113448,113450,113474,113625,113826,114164,114518,114927,115021,115048,115318,116037,116844,117508,118023,118684,119351,120162,120831,121412,122032,122672,123298,123564,123405,123324,123114,123236,123286,123689,124182,124595,125251,125809,126092,125981,125305,124907,124641,124773,124865,124856,125106,125464,125869,126100,126300,126474,126844,127307,127719,128164,128595,129343,130009,130594,131005,131312,131721,131938,132140,132182,132214,132345,132485,132863,133173,133565,133856,134178,134717,135769,137406,138539,139635,139880,140772,141380,142377,143212,143988,144812,145548,146205,146594,146802,146729,146801,146814,146918,146999,147031,147323,147449,147713,147663,147792,147934,148419,148808,149335,149940,150761,151639,152377,153107,153461,153350,152967,153014,153368,153972,154313,154898,155422,155930,156298,156647,156166,155475,154605,154329,153873,153435,153104,152584,151995,151464,150770,149988,149084,148915,148827,148967,149114,149532,150107,150308,150225,149872,149981,150254,150241,150267,150551,151077,151365,151052,150164,148825,147756,146986,146560,146115,145514,144807,143879,143229,142729,142414,142320,142280,142161,141930,141118,140631,140447,140817,141404,141842,142387,142680,143269,143775,144145,144135,144400,144745,145490,146420,148017,149792,151460,152721,154027,155356,156675,157961,159156,160300,161565,162944,164146,165162,166127,167464,168950,170609,172155,173457,174631,175911,177286,178612,180168,181656,183116,184246,184994,185447,185856,186592,187256,187941,188853,189768,190420,190782,191507,192264,193038,193226,193347,193415,194189,195187,195791,196427,197161,198103,198773,199324,199693,199804,199922,200215,200765,201372,201984,202521,203198,204390,205616,206554,207115,207855,208628,209364,209906,210474,211434,212359,213006,213218,213547,214100,214674,215070,215221,215731,216226,216743
395209,"Washington, DC",7,177489,176942,176472,176056,175923,176029,176493,176763,176895,176957,177056,177015,176726,176252,176027,175998,176137,176192,176386,176666,176832,177481,178021,178564,178339,178103,177937,177954,178208,178649,179105,179483,179879,180625,181492,182196,182495,182751,183274,184046,184878,185890,187050,188425,189604,190805,191659,192387,192824,193537,194505,195954,197689,199516,201488,203389,205458,207292,208848,210385,212038,213977,216082,218406,220986,223578,226163,228726,231164,233346,235231,237181,239320,241889,244881,248370,252228,255921,259371,262320,265105,267442,270049,272682,275482,278283,281527,285200,289060,293047,297124,300801,304008,306823,310243,314033,318574,323867,330302,338067,346055,354105,360501,365826,370839,376474,381882,387474,394124,402272,410626,418758,426099,433306,439460,443934,447685,450632,453637,456701,459100,461124,461979,462840,463052,461410,458486,455786,453862,451982,449966,448161,447194,445903,443450,440653,437828,435633,432189,427949,422747,417839,412426,406393,400126,393430,387467,381665,376594,371131,365955,361135,356957,352048,347273,342831,339594,337966,337052,336394,335391,333956,332992,332754,333692,335008,335348,336136,337363,339396,339981,339499,338254,337132,335784,333895,332522,331711,332139,332175,332385,331838,331797,331028,330296,328881,327726,327412,327248,327248,327531,329044,330845,332484,333956,335469,336570,337232,338380,340380,342835,345544,347937,350342,352725,355394,357587,359597,361491,364129,366546,369097,370767,372454,374252,375966,377434,377588,377245,376872,376235,375979,375763,376168,376638,376653,377610,378806,379732,379984,379836,379635,378997,378656,379023,379771,380971,381950,382357,382782,384034,385829,386810,387038,386850,387460,388261,389644,391528,393967,397014,398819,400118,400020,400401,400416,401062,401728,403127,404988,406406,407565,408878,410846,412997,414743,415877,416238,416009,415856,416322,417185,418952,420890,423444,425338,426754,427134,427212,426520,426623,427307,429084,431185,432977
394856,"Miami-Fort Lauderdale, FL",8,111822,111867,111927,112045,112103,112126,112214,112437,112722,112972,113242,113472,113660,113795,113828,113889,113965,114148,114330,114575,114836,115853,116693,117431,117309,117293,116990,116809,116771,117336,118104,118747,119117,119342,119591,119884,120110,120378,121145,121877,122535,122606,122802,123190,123574,124148,124783,125684,126426,126997,127558,128189,128852,129614,130448,131430,132425,133421,134436,135671,136863,138238,139599,141280,143127,145113,147208,149062,150740,152264,153704,155086,156435,157867,159385,161093,163079,164975,166869,168568,170713,172842,175012,177216,179376,181622,183592,185633,187794,190213,192657,195069,197132,199553,201727,204275,206594,209756,213190,217065,221172,225349,229513,233326,237442,241394,245633,250307,255257,261018,267095,274074,280802,287302,292889,297638,301744,305907,309402,313656,318884,324270,328813,331579,333496,334532,334718,335022,334546,333634,332264,330175,327626,324759,321751,318251,314357,309976,306264,301323,296583,289930,284035,277033,271293,265252,260233,254259,247656,240439,233261,226591,220680,215110,210346,205353,201052,196567,193221,190164,187668,185236,183567,182139,180598,179568,179060,179079,178806,178158,176869,175560,174068,172683,170660,168926,167389,165921,164673,163600,163073,162289,161416,160433,159852,159503,159372,159373,159327,159570,159562,160023,160628,161664,162789,163853,165316,167025,168668,169965,171361,173341,175821,178580,181686,184591,186919,189408,192054,195104,197839,201188,204404,207527,209600,211570,212704,214283,215503,217318,218671,220110,221649,222609,224034,225186,227094,228228,229654,230709,232065,233105,234369,236044,237581,239547,241422,243460,245243,246545,248069,249507,251519,253487,255186,256487,257763,259390,261334,262981,264520,265461,266939,268204,269529,270659,272266,273812,275565,276580,278037,278972,280769,282604,284277,285884,287009,288370,289139,289829,290269,291999,293613,295234,295320,295744,296231,296534,296969,297166,297232,297234,297852,298745,299347
394347,"Atlanta, GA",9,120070,120392,120806,121222,121650,122091,122541,123083,123647,124247,124747,125198,125545,125913,126245,126715,127274,127947,128565,129167,129756,130834,131781,132580,132812,133223,133762,134469,135094,135758,136402,137267,138033,138865,139562,140327,140978,141654,142434,143384,144270,145225,146130,147112,148028,148918,149800,150660,151529,152409,153327,154295,155342,156460,157627,158711,159850,160906,161846,162561,163130,163776,164424,165171,165941,166791,167598,168389,169147,169892,170575,171051,171439,171754,172133,172519,172944,173458,173999,174516,174925,175369,175699,176002,176116,176259,176433,176691,177078,177529,177957,178344,178773,179135,179456,179653,179960,180241,180516,180846,181367,182000,182633,183139,183637,184204,184753,185156,185512,186030,186693,187330,187979,188708,189441,190143,190805,191503,192063,192387,192636,192962,193501,194220,194908,195511,195922,196209,196606,196921,197238,197459,197690,197939,198076,198222,198186,197906,197366,196493,195771,194475,193095,191282,190046,188974,187947,186685,185278,183831,182082,179613,176507,173399,170671,168244,165781,163515,161690,160477,159579,158624,157486,156481,155921,155218,154592,153940,153953,153941,153663,152222,150348,147902,145942,143888,142194,140392,139046,137481,135813,133559,131558,130032,129418,129330,129323,129050,127970,127279,126714,127484,128265,129273,130252,131279,131829,131722,131807,132602,133682,135058,136619,138550,140322,142242,144218,146211,148385,150589,152736,154532,156343,157843,159215,160330,161480,162508,163374,164354,165105,165814,166417,167176,168000,168823,169605,170334,171299,172512,173781,174603,175350,176082,176858,177713,178571,179695,180815,182287,183867,185226,186085,186600,187066,187481,188370,189552,191197,192382,193728,194946,196392,197763,199182,200551,201570,202954,204305,206041,207859,209861,211871,213481,215118,216609,218077,219452,220737,222155,223671,225188,226505,227471,228499,229823,231268,232390,232784,233207,233805,234673,235415,236234,237298
