"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
9,"California",1,159574,159095,158721,158661,158799,159073,159306,159416,159567,159870,160110,160321,160380,160682,161121,161929,162867,163940,164752,165585,166460,168052,169699,171215,172154,173077,174199,175446,176842,178342,179711,180918,181808,183134,184472,185867,186873,187985,189536,191427,193159,194686,196200,198009,199818,201680,203394,205282,207256,209478,211964,214818,217872,220916,223551,226126,228505,230644,232788,235270,238099,240738,243127,245689,248322,250938,253113,255085,256767,258228,259814,261798,264351,267325,270744,275139,279852,284495,288447,292239,295757,298812,301586,304779,308471,312696,316404,321087,326187,331957,336843,341344,345410,349941,355105,361169,368003,376174,385340,394945,404000,412608,420284,426359,432137,437106,443125,449655,457285,464543,471280,478541,486127,493644,500021,504036,507205,509580,511855,514559,517048,520040,521890,523029,523722,522925,521436,519207,516811,514584,512292,510033,507780,504391,500883,496684,492686,487544,481314,474553,466796,459163,450049,439933,428745,417599,407303,397140,387796,379256,371551,363021,354571,346674,341795,337740,333958,330397,327537,326128,325051,324349,324112,325700,327868,329359,329178,330231,331826,333678,333005,331694,329710,327997,325634,323390,321753,320204,318693,316742,315112,312377,310604,309246,307544,305336,302722,301891,301048,300539,300123,300432,301522,303143,305197,307658,310309,313083,316496,320232,325560,330841,337127,343802,351229,358534,366032,373319,379978,385623,390666,395936,401042,406204,410653,413095,414131,414431,414877,415413,415127,415591,416912,419899,422786,425800,429008,432511,435032,437370,438920,439553,440628,442566,446115,449477,454252,458641,462495,464576,467147,469304,471409,471657,472738,474147,477700,481136,484682,488426,492250,495838,498844,501913,505043,505882,506599,508041,511924,516777,522093,527620,533196,537662,541053,543315,545262,545400,544961,544191,545256,546497,547165,547441,547495,547761,548908,549926,550883,549929,549218,549241,551306,553542,556815
54,"Texas",2,97280,97284,97312,97348,97464,97681,97947,98183,98420,98594,98713,98731,98680,98628,98671,98758,98937,99168,99483,99740,99989,100593,101143,101602,101562,101611,101735,101999,102265,102539,102682,102768,102811,103153,103718,104372,104955,105460,106046,106649,107251,107762,108365,109020,109673,110154,110452,110536,110573,110452,110425,110389,110656,110985,111346,111756,112197,112485,112420,112099,111852,111791,111848,111935,112084,112284,112526,112695,112853,112996,113194,113459,113776,114093,114520,114964,115536,116022,116464,116826,117136,117423,117574,117706,117760,117825,117955,118115,118436,118719,119046,119241,119421,120013,121147,122710,123885,124677,125046,125557,126112,126823,127454,127965,128393,129005,129480,129897,130105,130334,130636,130903,131266,131652,131944,132277,132472,132754,133051,133400,133790,134291,134842,135402,135963,136617,137448,138114,138738,138949,138984,138892,139155,139540,140049,140442,141021,141591,142121,142484,142788,142353,141701,140883,140575,140274,140015,139826,139484,139031,138519,137995,137500,137013,136825,136754,136764,136754,136711,136747,136641,136550,136396,136562,136695,136657,136565,136604,136869,137074,137020,136613,136042,135457,134899,134276,133745,133240,132701,132248,131864,131595,131234,131113,131059,131101,130988,130719,130415,130297,130514,130968,131404,131875,132285,132799,133183,133434,133598,133919,134363,134947,135577,136433,137392,138378,139331,140305,141210,142142,143104,144101,144977,145765,146643,147509,148388,149308,150328,151254,152100,152876,153729,154677,155710,156702,157723,158835,160033,161178,162289,163301,164086,164741,165537,166411,167420,168378,169342,170260,171246,172397,173450,174475,175159,175860,176580,177707,179024,180144,181287,182259,183379,184330,185246,185952,186513,187105,187903,188862,189841,190738,191699,192786,194005,195149,196178,197006,197787,198401,199122,199821,200754,201832,202914,203711,204283,204852,205416,205973,206492,207091,207358,207651,207829
43,"New York",3,139869,139492,139098,138785,138672,138760,138926,139111,139309,139562,139983,140383,140563,140484,140400,140538,140797,141169,141487,142022,142541,143571,144196,144783,144801,144911,144995,145017,145367,145892,146715,147273,147798,148128,148760,149452,150345,151213,152131,153398,154391,155423,156198,157129,157919,158634,159724,161015,162466,163651,164811,165738,166515,167276,168219,169534,170875,172139,173205,174293,175388,176442,177517,178638,179828,181015,182365,183878,185454,186999,188401,189607,190785,191910,193217,194603,196228,197912,199613,201343,203156,204907,206650,208627,210395,212048,213578,215271,217360,219667,222039,224004,225748,227544,229266,230664,232056,233655,235659,237910,240223,242789,245275,247869,250210,252451,254642,256552,258564,260598,262721,265100,267689,270537,273432,275931,278432,280437,282253,283565,284610,285571,286709,287805,288859,289487,290080,290383,290746,290864,290978,291156,291026,291079,290870,290925,291057,291123,291568,291918,292032,291959,291544,291121,290345,289261,288058,286678,285449,284112,282541,280840,279279,277746,276378,275048,273838,272679,271446,270332,269281,268588,268196,268008,267897,267723,267761,267727,268043,268235,268695,268883,268619,267927,266822,265762,264686,264019,263469,263100,262379,261663,260641,259865,259200,258664,258120,257380,256806,256251,255682,255213,255001,255174,255447,255687,255868,255974,255939,255999,256221,256506,257074,257589,258518,259470,260544,261476,262161,262744,263412,264072,264700,265304,265984,266822,267671,268480,269173,269578,269892,270098,270352,270594,271042,271446,271830,272130,272797,273648,274664,275567,276287,276856,277215,277573,277824,278094,278705,279608,280833,282059,283139,284027,284839,285529,286280,287114,288229,289317,290155,291020,292314,294128,296198,297940,299344,300484,301607,302800,303886,305186,306625,308281,310002,311673,313285,314796,316200,317519,318567,319544,320442,321443,322478,323795,325028,326255,327070,327542,327707,327649,327585,327792,328397
14,"Florida",4,100336,100387,100468,100563,100655,100746,100911,101127,101380,101648,101883,102063,102176,102308,102429,102579,102758,103036,103343,103721,104075,104957,105656,106227,106146,106168,106176,106283,106486,106934,107516,107984,108319,108542,108826,109104,109378,109678,110219,110845,111419,111847,112267,112837,113382,114002,114574,115213,115781,116333,116903,117505,118130,118835,119607,120461,121299,122154,122985,123824,124622,125475,126384,127429,128546,129743,130978,132174,133315,134413,135390,136328,137230,138235,139310,140449,141726,142995,144325,145587,146992,148423,149846,151246,152642,154104,155541,157015,158585,160283,162045,163763,165351,166975,168534,170265,172058,174250,176773,179632,182824,185997,189004,191776,194655,197727,200962,204626,208832,213548,218688,224233,229946,235416,240258,244626,248614,252358,255685,259382,263484,267282,270283,272107,273322,273560,273146,272346,271001,269555,268055,266527,264867,262774,260253,257244,254060,250791,247337,243579,239730,235465,231383,227049,223118,218803,214836,210667,206342,201914,197334,192763,188400,184334,180844,177566,174333,171315,168517,166287,164172,162180,160491,159472,158557,157820,157138,156791,156514,156065,155303,154205,152858,151372,149764,148116,146568,145018,143637,142292,141135,139969,138988,138043,137386,136859,136556,136352,136180,136147,136205,136589,137148,137778,138423,139174,140048,141019,142068,143125,144340,145781,147444,149181,150904,152783,154557,156525,158528,160677,162627,164489,166212,167801,169212,170505,171523,172470,173185,173970,174481,175221,176279,177426,178653,179741,181028,182132,183205,184269,185396,186453,187638,188974,190407,191745,193313,194862,196561,197838,199204,200371,201705,203015,204261,205390,206521,207896,209397,210777,212065,213249,214744,216122,217449,218537,219756,220952,222245,223520,224992,226037,227237,228520,230103,231569,232718,233709,234567,235466,236426,237569,238900,240058,240850,241338,241870,242285,242727,243195,243508,243821,244356,245190,246107
21,"Illinois",5,137650,137566,137871,137941,138217,138696,139306,139897,140430,140883,141276,141457,141477,141836,142043,142218,140132,137528,133249,129992,127605,126862,126921,126816,126765,126727,126860,127482,128705,130426,132357,134128,135477,136218,136694,136994,137317,137512,138204,139194,140168,140928,141690,142681,143596,144607,145488,146239,146775,147244,147897,148745,149912,151220,152620,154053,155335,156357,157044,157658,158208,158886,159686,160666,161850,163226,164739,166208,167375,168252,168975,169742,170268,170824,171460,172567,173948,175450,176976,178274,179565,180569,181526,182161,182887,183385,184016,184811,186162,187840,189561,191100,192362,193544,194473,195225,196067,196968,198244,199573,201175,202721,204426,206192,207970,209326,210443,211310,212289,213263,214459,215848,217518,219526,221579,223462,225111,226455,227439,228192,228675,229216,229554,230102,230857,231681,232427,233073,233646,234173,234306,234049,233396,232560,231849,231277,231027,230631,230344,230033,229362,228402,225771,224925,222351,221785,218892,217911,215352,213979,211451,209434,206506,203196,200624,197933,196388,194217,192631,191316,190290,188720,187384,186072,185778,184883,184436,182992,183265,182433,182840,180707,179706,177736,176587,174425,172550,170734,169294,168201,166769,165861,164486,163943,162926,162108,160308,159195,157440,156532,154772,154567,154277,154614,154503,153882,153354,152666,153039,153439,153711,154211,154883,155664,156688,157604,159062,160153,161680,162848,164484,165149,166005,166448,167356,167934,168318,168965,169866,170495,170764,171003,171299,171641,171969,172250,172645,173473,174574,175517,175738,175796,175721,175696,175737,175804,176280,176971,178412,179785,180952,181641,182103,182489,182762,182955,183373,184033,185035,186280,187567,189023,190280,191190,191578,191657,191874,192213,192806,193427,194350,195477,196641,197555,198290,198859,199273,199314,199318,199446,199698,199996,200272,200633,201358,202170,202923,203314,203378,203234,203038,202778,202615,202496,202609
47,"Pennsylvania",6,95577,95311,95176,95091,95190,95303,95579,95843,96145,96369,96435,96453,96434,96534,96666,96860,97023,97264,97529,97866,98228,98649,98939,99073,99033,98986,98941,98936,99172,99524,99993,100297,100520,100697,100885,101038,101166,101229,101336,101487,101714,102043,102398,102838,103330,103865,104438,104928,105342,105665,105954,106275,106636,107093,107602,108202,108823,109425,109932,110403,110839,111154,111460,111824,112343,112922,113504,114141,114744,115355,115919,116460,116991,117497,118044,118700,119572,120520,121490,122286,123091,123862,124610,125246,125878,126660,127622,128675,129730,130849,131949,132915,133772,134521,135451,136261,137140,138172,139431,140974,142459,144034,145361,146777,148125,149520,150440,151299,152252,153520,155060,156756,158616,160366,161929,163339,164637,165726,166555,167236,167982,168913,170049,171112,172021,172688,173237,173644,173954,174258,174572,174913,175137,175402,175636,176069,176405,176624,176774,176948,177023,176857,176682,176356,176084,175623,175176,174510,173747,173016,172408,171777,170985,170139,169624,169304,169044,168643,168277,168000,167666,167393,167253,167349,167483,167737,168029,168431,168768,168918,168865,168541,168009,167208,166274,165242,164277,163432,162755,162220,161599,160936,160165,159527,159043,158732,158404,158016,157585,157194,156903,156763,156774,156857,156862,156779,156650,156507,156387,156306,156305,156417,156632,156969,157446,157946,158484,158963,159255,159459,159521,159683,159768,159941,160213,160556,160836,161048,161344,161615,161697,161616,161516,161515,161628,161753,161985,162443,163121,163829,164225,164373,164424,164534,164707,164889,165070,165426,166077,166641,167179,167479,168003,168384,168762,168950,169206,169565,170221,170695,171262,171940,172996,174012,174788,175374,175873,176407,177024,177613,178317,179170,180175,181650,183007,184251,184853,185302,185622,186001,186369,186913,187556,188337,189163,189937,190659,191443,192145,192772,193232,193608,194050,194542,195178
44,"Ohio",7,92596,92848,93083,93305,93586,93903,94237,94602,94978,95371,95691,95951,96149,96361,96621,96927,97221,97531,97840,98201,98581,99051,99487,99848,100069,100279,100533,100861,101237,101656,102145,102645,103087,103459,103778,104080,104312,104471,104634,104836,105141,105503,105913,106370,106931,107591,108161,108565,108910,109329,109806,110215,110639,111099,111583,112110,112641,113182,113584,113937,114208,114451,114651,114914,115266,115657,116063,116466,116864,117243,117538,117792,117964,118135,118314,118564,118863,119205,119591,120046,120516,120972,121358,121657,121894,122097,122371,122717,123204,123720,124251,124704,125148,125553,125954,126301,126544,126755,126973,127275,127581,127927,128289,128708,129115,129590,130018,130377,130603,130746,130943,131159,131481,131809,132181,132570,132924,133229,133411,133511,133531,133531,133534,133575,133625,133648,133660,133625,133541,133470,133411,133201,132898,132545,132261,131939,131662,131528,131352,130992,130561,130140,129697,129298,128860,128486,128057,127695,127300,126871,126292,125767,125071,124278,123377,122597,122067,121669,121291,120844,120431,120117,119959,119740,119552,119350,119371,119316,119314,119207,119058,118655,118199,117650,117082,116380,115609,114936,114311,113847,113281,112730,112216,111913,111711,111468,111148,110789,110467,110050,109662,109450,109405,109340,109239,109196,109256,109329,109367,109339,109328,109374,109538,109719,110035,110468,111055,111596,112054,112324,112648,112926,113149,113059,112941,112858,112993,113243,113610,113981,114138,114262,114283,114509,114824,115310,115870,116431,116985,117578,118142,118646,119018,119303,119533,119798,120053,120416,120830,121450,122109,122702,123206,123661,124116,124549,124979,125495,126101,126766,127491,128288,129204,130066,130831,131413,132047,132681,133405,134020,134624,135026,135705,136598,137830,138970,139877,140648,141141,141541,141911,142438,143044,143773,144580,145528,146310,147161,147891,148637,149133,149653,150101,150429,150835
30,"Michigan",8,92420,92978,93508,93968,94485,95053,95623,96273,96938,97589,98252,98914,99524,99980,100337,100816,101467,102271,103067,103817,104448,105034,105691,106295,106869,107268,107740,108301,108933,109650,110360,111106,111846,112385,113068,113658,114396,114948,115632,116392,117250,118116,118935,119810,120685,121610,122395,123160,123837,124503,125132,125961,126822,127693,128487,129422,130394,131226,131875,132394,132871,133287,133637,134082,134668,135410,136125,136810,137452,138099,138665,139124,139412,139533,139673,139854,140227,140645,141172,141703,142250,142705,143138,143309,143501,143710,144047,144430,144920,145561,146317,146989,147634,148189,148630,149011,149199,149363,149511,149832,150270,150791,151390,151947,152496,153001,153353,153617,153750,153888,153909,153972,154233,154658,155101,155459,155798,156070,156254,156190,155900,155404,154857,154427,154085,153825,153532,153184,152707,152064,151392,150549,149679,148535,147560,146451,145738,144748,143869,142815,142010,141050,139766,138069,136071,134205,132426,130713,128727,127024,125725,124523,122865,120622,118379,116164,114320,112660,111144,109986,108893,108064,107063,106307,105604,105248,104704,104347,104146,104263,104395,104113,103646,102901,102209,101347,100597,99726,99011,98290,97595,97003,96434,96109,96054,96137,96198,96072,95912,95773,95654,95957,96295,96893,97502,98351,99147,99797,100521,101199,101786,102400,103292,104522,105788,107093,108430,109945,111473,112907,114097,115147,116221,117382,118432,119369,120202,121131,122173,123073,123691,123968,124214,124537,124897,125393,125987,126822,127654,128425,129145,129759,130303,130560,130764,131095,131737,132505,133296,133964,135016,136183,137397,138326,139004,139750,140468,141145,141813,142710,143787,145099,146504,148089,149396,150202,150770,151269,151822,152506,153275,154565,156024,157600,159070,160496,161846,162812,163504,163983,164391,164811,165480,166287,167266,168272,169333,170544,171559,172243,172395,172576,172710,173124,173481
16,"Georgia",9,102441,102712,103050,103392,103733,104077,104418,104833,105267,105742,106177,106596,106972,107361,107751,108223,108727,109295,109810,110364,110910,111753,112447,113030,113280,113688,114204,114819,115401,115982,116558,117216,117821,118379,118888,119448,120044,120660,121337,122111,122811,123542,124233,124994,125709,126398,127111,127839,128601,129356,130138,130947,131796,132677,133585,134537,135566,136597,137387,138026,138531,139164,139775,140434,141096,141783,142448,143090,143700,144263,144777,145189,145566,145954,146368,146786,147179,147633,148111,148575,148951,149332,149639,149954,150159,150374,150581,150846,151208,151623,152023,152408,152824,153209,153555,153842,154199,154586,154968,155371,155884,156480,157106,157648,158113,158489,158790,159070,159478,160052,160726,161356,161982,162657,163312,163957,164519,165097,165588,165980,166337,166730,167248,167843,168465,169026,169514,169854,170269,170599,170919,171155,171419,171643,171773,171820,171846,171711,171472,170981,170553,169773,168909,167799,166974,166212,165419,164451,163381,162304,161061,159362,157332,155368,153674,152097,150342,148609,147057,145874,144910,143975,142997,142107,141431,140703,140097,139587,139459,139291,138955,138027,136847,135291,133973,132502,131232,129887,128888,127759,126473,124871,123462,122376,121766,121398,121094,120738,119978,119429,118942,119179,119447,119844,120268,120793,121157,121268,121443,122007,122737,123739,124804,125992,127045,128162,129374,130608,131948,133279,134625,135801,137027,138118,139192,140137,141080,141922,142677,143412,144037,144654,145228,145892,146564,147242,147893,148552,149359,150305,151242,151924,152508,153054,153615,154269,154987,155869,156746,157780,158890,159890,160626,161137,161549,161887,162464,163263,164311,165171,166134,167093,168184,169187,170207,171253,172188,173394,174568,175970,177372,178821,180305,181613,183009,184300,185524,186661,187698,188778,189877,191028,192125,193058,194046,195222,196424,197378,197930,198495,199152,199942,200650,201140,201713
36,"North Carolina",10,109624,109926,110354,110874,111446,111921,112420,112953,113499,114077,114584,115128,115587,116032,116453,116880,117429,118051,118509,118902,119238,119705,120058,120343,120601,121017,121542,122128,122603,123055,123527,124013,124466,124812,125202,125525,125928,126230,126574,126963,127321,127723,128059,128540,129044,129555,130091,130570,131082,131554,132058,132546,132988,133431,133895,134503,135134,135810,136221,136537,136716,136973,137240,137506,137845,138183,138556,138841,139116,139379,139576,139739,139768,139908,140058,140339,140588,140847,141088,141343,141625,141925,142156,142335,142417,142552,142700,142956,143285,143626,143944,144248,144621,145022,145375,145629,145853,146070,146415,146806,147250,147732,148245,148793,149342,149741,150169,150488,150968,151470,152194,153017,153923,154780,155673,156495,157305,158030,158699,159373,160078,160906,161769,162722,163705,164631,165453,166121,166750,167386,167909,168481,169031,169690,170355,170950,171523,171938,172252,172482,172631,172720,172688,172647,172518,172333,171977,171524,171082,170610,170129,169439,168632,167756,167158,166632,165998,165198,164391,163694,162887,162223,161711,161405,161024,160653,160196,159861,159727,159687,159503,158974,158317,157606,156952,156247,155570,154818,154125,153390,152600,151892,151293,150792,150245,149793,149209,148631,148069,147654,147388,147281,147438,147477,147382,147235,147269,147279,147319,147334,147377,147487,147683,148131,148628,149191,149679,150146,150615,151005,151458,151815,152323,152768,153322,153774,154171,154466,154638,154749,154769,154868,155010,155310,155643,156107,156666,157415,158069,158600,159031,159532,160091,160555,160978,161321,161651,162051,162625,163212,163942,164736,165639,166437,167162,167943,168743,169604,170504,171366,172227,173194,174265,175247,176045,176662,177342,178133,179166,180181,181260,182326,183532,184657,185701,186710,187701,188738,189672,190613,191437,192403,193373,194395,195353,196282,197311,198162,198952,199596,200234,200973,201861,202789,203661
